Taxon,Total Counties,Counties with SLF,Percent Overlap (%),Estimated Range
Vitis x novae-angliae,33,20,60.61,NA
Vitis aestivalis var. bicolor,293,123,41.98,NA
Vitis labrusca,950,215,22.63,NA
Vitis baileyana,260,38,14.62,NA
Vitis rufotomentosa,9,1,11.11,NA
Vitis rupestris,247,27,10.93,NA
Vitis aestivalis,2657,269,10.12,NA
Vitis vulpina,2273,217,9.55,NA
Vitis riparia,2531,228,9.01,NA
Vitis rotundifolia,935,80,8.56,NA
Vitis simpsonii,194,15,7.73,NA
Vitis aestivalis var. aestivalis,751,56,7.46,NA
Vitis cinerea,1954,79,4.04,NA
Vitis rotundifolia var. rotundifolia,256,9,3.52,NA
Vitis rotundifolia var. munsoniana,165,4,2.42,NA
Vitis palmata,441,3,0.68,NA
Vitis acerifolia,189,0,0,NA
Vitis arizonica,100,0,0,NA
Vitis berlandieri,70,0,0,NA
Vitis californica,63,0,0,NA
Vitis girdiana,11,0,0,NA
Vitis lincecumii,57,0,0,NA
Vitis monticola,54,0,0,NA
Vitis mustangensis,224,0,0,NA
Vitis rotundifolia var. pygmaea,3,0,0,NA
Vitis shuttleworthii,63,0,0,NA
Vitis x doaniana,1,0,0,NA
Vitis x champinii,0,0,NA,NA
