taxon,totalCounties,herbarium,germplasm,inaturalist,bonap,plants,no_H,no_G,bonap_plants_agree,plants_noBonap,bonap_noPlants,inat_only,herbarium_percent,germplasm_percent,inaturalist_percent,bonap_percent,plants_percent,no_H_percent,no_G_percent,bonap_plants_agree_percent,plants_noBonap_percent
Vitis acerifolia,128,102,0,14,106,65,26,128,65,0,41,0,79.7,0,10.9,82.8,50.8,20.3,100.,50.8,0
Vitis aestivalis var. aestivalis,751,504,0,7,0,454,247,751,0,454,0,1,67.1,0,0.932,0,60.5,32.9,100.,0,60.5
Vitis aestivalis var. bicolor,292,284,0,12,0,0,8,292,0,0,0,8,97.3,0,4.11,0,0,2.74,100.,0,0
Vitis aestivalis,1604,1257,4,548,1457,1174,347,1600,1172,2,285,71,78.4,0.249,34.2,90.8,73.2,21.6,99.8,73.1,0.125
Vitis arizonica,72,66,19,33,63,41,6,53,40,1,23,0,91.7,26.4,45.8,87.5,56.9,8.33,73.6,55.6,1.39
Vitis baileyana,260,258,0,8,0,0,2,260,0,0,0,2,99.2,0,3.08,0,0,0.769,100.,0,0
Vitis berlandieri,70,68,20,2,0,0,2,50,0,0,0,0,97.1,28.6,2.86,0,0,2.86,71.4,0,0
Vitis californica,58,53,8,46,52,41,5,50,41,0,11,2,91.4,13.8,79.3,89.7,70.7,8.62,86.2,70.7,0
Vitis cinerea,1248,714,11,144,1173,773,534,1237,769,4,404,16,57.2,0.881,11.5,94.0,61.9,42.8,99.1,61.6,0.321
Vitis girdiana,11,10,5,7,10,8,1,6,8,0,2,0,90.9,45.5,63.6,90.9,72.7,9.09,54.5,72.7,0
Vitis labrusca,604,461,4,106,558,359,143,600,358,1,200,12,76.3,0.662,17.5,92.4,59.4,23.7,99.3,59.3,0.166
Vitis lincecumii,57,54,0,14,0,0,3,57,0,0,0,3,94.7,0,24.6,0,0,5.26,100.,0,0
Vitis monticola,40,33,8,14,32,14,7,32,14,0,18,1,82.5,20.0,35.0,80.0,35.0,17.5,80.0,35.0,0
Vitis mustangensis,169,138,17,118,126,60,31,152,56,4,70,12,81.7,10.1,69.8,74.6,35.5,18.3,89.9,33.1,2.37
Vitis palmata,317,231,0,28,256,156,86,317,156,0,100,10,72.9,0,8.83,80.8,49.2,27.1,100.,49.2,0
Vitis riparia,1540,1060,20,516,1426,1035,480,1520,1034,1,392,33,68.8,1.30,33.5,92.6,67.2,31.2,98.7,67.1,0.0649
Vitis rotundifolia var. munsoniana,165,155,0,29,0,0,10,165,0,0,0,10,93.9,0,17.6,0,0,6.06,100.,0,0
Vitis rotundifolia var. pygmaea,3,3,0,2,0,0,0,3,0,0,0,0,100.,0,66.7,0,0,0,100.,0,0
Vitis rotundifolia var. rotundifolia,256,239,0,27,0,0,17,256,0,0,0,17,93.4,0,10.5,0,0,6.64,100.,0,0
Vitis rotundifolia,935,695,2,767,0,593,240,933,0,593,0,146,74.3,0.214,82.0,0,63.4,25.7,99.8,0,63.4
Vitis rufotomentosa,9,9,0,0,0,0,0,9,0,0,0,0,100.,0,0,0,0,0,100.,0,0
Vitis rupestris,177,130,0,12,157,81,47,177,78,3,79,2,73.4,0,6.78,88.7,45.8,26.6,100.,44.1,1.69
Vitis shuttleworthii,34,33,0,30,31,29,1,34,29,0,2,1,97.1,0,88.2,91.2,85.3,2.94,100.,85.3,0
Vitis simpsonii,194,187,0,34,0,0,7,194,0,0,0,7,96.4,0,17.5,0,0,3.61,100.,0,0
Vitis vulpina,1453,1121,3,179,1307,911,332,1450,901,10,406,18,77.2,0.206,12.3,90.0,62.7,22.8,99.8,62.0,0.688
Vitis x champinii,0,0,0,0,0,0,0,0,0,0,0,0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
Vitis x doaniana,1,1,0,0,0,0,0,1,0,0,0,0,100.,0,0,0,0,0,100.,0,0
Vitis x novae-angliae,33,32,0,1,0,0,1,33,0,0,0,1,97.0,0,3.03,0,0,3.03,100.,0,0
